Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1.0,1.0,0.34201928010153104,0.6431968915388223,0.3393955723202658,0.024680073126142597,0.29790318982824004,0.36736378646119977
1.0,1.0,0.19047876218507817,0.653513766999397,0.42952085859266237,0.22682162444502482,0.3669417800579969,0.4878921298844249
0.0,1.0,0.35811303432074093,0.07643866818516781,0.18941128923615788,0.8329851136066859,0.056212357796118675,0.49119427627958173
1.0,1.0,0.2540976966489347,0.5496080927178938,0.23005074318559432,0.08370331679289633,0.1998661610528664,0.3984589983489268
1.0,1.0,0.32735668187832473,0.2106250418704361,0.313080964569581,0.05941499085923218,0.34987731429846086,0.1491469455145845
1.0,1.0,0.20457429859854726,0.3283312118979031,0.42314428128788895,0.21467746147819275,0.37006468882444793,0.7052834342322509
0.0,1.0,0.16093754219209894,0.24070476318081327,0.2779199784453725,0.05223295899712719,0.1910550970332367,0.20555861309851403
1.0,1.0,0.1620986687548943,0.7394653982715884,0.8477255377430508,0.1480804387568556,0.8277938880214143,0.5764997248211337
1.0,1.0,0.09081089838792428,0.3582769478126884,0.5824689029592707,0.5712979890310786,0.6662948918135178,0.4790864061640066
1.0,1.0,0.3548996840655631,0.07161519394386011,0.2029727423772958,0.1821624445024811,0.06089672094579523,0.1359383599339571
1.0,1.0,0.8562903356465855,0.8215984457694111,0.5278189411289236,0.03421258814311831,0.4325228641534687,0.8057237204182718
1.0,1.0,0.5728404396079173,0.41220606953842026,0.6726390947056445,0.4008879603029512,0.7477135846531341,0.16483214089157952
1.0,1.0,0.6656225528582616,0.6304012862597976,0.5428173694373344,0.035126664925568034,0.5637965648003569,0.5957622454595486
0.0,1.0,0.2767801690384252,0.07094526696590071,0.17144909964524674,0.048576651867328284,0.1071826901628374,0.11254815630159604
1.0,1.0,0.027461993357275942,0.5869230253902324,0.5441645336566527,0.014233481326717161,0.502453714030783,0.2963676389653275
1.0,1.0,0.502200739880647,0.42017820057613714,0.45336566527459693,0.2846696265343432,0.3082757082310953,0.8745184369840395
0.0,1.0,0.21000189020603247,0.16346218262209417,0.4248506892990255,0.08409506398537478,0.28050412670087,0.13703907539900936
1.0,1.0,0.4737126346771798,0.2990554029610772,0.20652027482150073,0.13593627579002351,0.2516172206111979,0.5836543753439736
0.0,1.0,0.15024437663705345,0.05466604140148723,0.0901252862723966,0.43849569078088274,0.04149007361142092,0.1557512383048982
1.0,1.0,0.43642156995112463,0.2796945132980505,0.34092235843549323,0.02298250195873596,0.4461298237787196,0.014859658778205833
0.0,1.0,0.26719412415953336,0.06069538420312186,0.12833984462706002,0.408200574562549,0.0266562569707785,0.22839845899834893
0.0,1.0,0.3854130100180919,0.0501105379513633,0.13660245183887915,0.06006790284669627,0.010818648226633951,0.14171711612548157
0.0,1.0,0.5079793697513029,0.23815904066456753,0.49863038304369295,0.1466440323844346,0.2376756636181129,0.8145294441386901
0.0,1.0,0.07045067912402452,0.28699671735780796,0.1405541335488796,0.2693914860276835,0.09112201650680349,0.2702256466703357
0.0,1.0,0.5840466610860584,0.08461177731627252,0.12946248147649198,0.03147035779576913,0.10205219718938212,0.11062190423775453
0.0,1.0,0.8026894931547539,0.31694245327259324,0.3288427859356055,0.7972055366936538,0.039928619228195406,0.2971931755641167
0.0,1.0,0.04047741203791213,0.12889395055938901,0.10144146571467061,0.05223295899712719,0.053535578853446356,0.10787011557512383
1.0,1.0,0.018497016174763046,0.3641723052187311,0.49791189546005654,0.10551057717419693,0.4724514833816641,0.11915244909190974
1.0,1.0,0.40949963546026513,0.7034903195551685,0.5601508823925636,0.24745364324889008,0.7252955610082534,0.1956521739130435
0.0,1.0,0.5177274322901196,0.2016480203657801,0.2673222865867349,0.2622094541655785,0.28686147668971673,0.7702256466703357
1.0,1.0,0.29290092620095587,0.5024452334695518,0.6716960797521218,0.02128493079132933,0.7691278161945126,0.011832691249312053
1.0,1.0,0.26103745308238596,0.4670730890332953,0.47007050159414426,0.06738051710629409,0.5147222841846978,0.0170610897083104
1.0,1.0,0.0837091242945481,0.9388356669123066,0.9857649647492028,0.21454687908069994,0.7571938434084319,0.3987341772151899
1.0,1.0,0.3109658952825858,0.4084544784618476,0.4878979747631236,0.07299556019848526,0.5708231095248718,0.4053384700055036
0.0,1.0,0.16920044284827046,0.06967240570777784,0.08877812205307826,0.500783494384957,0.06758866830247603,0.5941111722619702
0.0,1.0,0.09029784246482866,0.2677028203925772,0.31402397952310385,0.027944633063463044,0.17120231987508366,0.08200330214639515
1.0,1.0,0.013177436340561122,0.6979299256381054,0.517715209484036,0.09388874379733612,0.625474012937765,0.06081452944413869
0.0,1.0,0.7378824291847812,0.09338782072754069,0.0872962414118281,0.31483416035518413,0.02241802364488066,0.3659878921298844
